aiofiles                      (!) 23.2.1               File support for asy...
aiohttp                       (!) 3.9.4                Async http client/se...
aiosignal                     (!) 1.3.1                aiosignal: a list of...
alabaster                     (!) 0.7.16               A light, configurabl...
alembic                           1.8.1                A database migration...
altgraph                      (!) 0.17.4               Python graph (networ...
annotated-types                   0.6.0                Reusable constraint ...
anthropic                     (!) 0.19.2               The official Python ...
anyio                         (!) 4.3.0                High level compatibi...
ascii-magic                   (!) 2.3.0                Converts pictures in...
astroid                       (!) 3.1.0                An abstract syntax t...
asttokens                     (!) 2.4.1                Annotate AST trees w...
async-timeout                 (!) 4.0.3                Timeout context mana...
attrs                         (!) 23.2.0               Classes Without Boil...
autobahn                      (!) 23.6.2               WebSocket client & s...
automat                       (!) 22.10.0              Self-service finite-...
av                            (!) 11.0.0               Pythonic bindings fo...
babel                         (!) 2.14.0               Internationalization...
backoff                       (!) 2.2.1                Function decoration ...
bidict                        (!) 0.23.1               The bidirectional ma...
black                         (!) 23.7.0               The uncompromising c...
blis                          (!) 0.7.11               The Blis BLAS-like l...
bokeh                         (!) 2.4.3                Interactive plots an...
boto3                         (!) 1.34.84              The AWS SDK for Python
botocore                      (!) 1.34.84              Low-level, data-driv...
bottle                        (!) 0.12.25              Fast and simple WSGI...
breadability                  (!) 0.1.20               Port of Readability ...
cachetools                    (!) 5.3.3                Extensible memoizing...
catalogue                     (!) 2.0.10               Super lightweight fu...
certifi                           2024.2.2             Python package for p...
cffi                          (!) 1.16.0               Foreign Function Int...
cfgv                          (!) 3.4.0                Validate configurati...
chardet                       (!) 5.2.0                Universal encoding d...
charset-normalizer            (!) 3.3.2                The Real First Unive...
click                         (!) 8.1.7                Composable command l...
clipboard                     (!) 0.0.4                A cross platform cli...
cloudpathlib                  (!) 0.16.0               pathlib-style classe...
colorama                      (!) 0.4.6                Cross-platform color...
coloredlogs                   (!) 15.0.1               Colored terminal out...
confection                    (!) 0.1.4                The sweetest config ...
constantly                    (!) 23.10.4              Symbolic constants i...
contourpy                     (!) 1.2.1                Python library for c...
cryptography                  (!) 42.0.5               cryptography is a pa...
curated-tokenizers            (!) 0.0.9                Lightweight piece to...
curated-transformers          (!) 0.1.1                Curated transformer ...
cycler                        (!) 0.12.1               Composable style cycles
cymem                         (!) 2.0.8                Manage calls to call...
cython                        (!) 3.0.10               The Cython compiler ...
decorator                     (!) 4.4.2                Decorators for Humans
deepdiff                      (!) 6.7.1                Deep Difference and ...
dictalchemy3                  (!) 1.0.0                Contains asdict and ...
dill                          (!) 0.3.8                serialize all of Python
distlib                       (!) 0.3.8                Distribution utilities
distro                        (!) 1.9.0                Distro - an OS platf...
docopt                        (!) 0.6.2                Pythonic argument pa...
docutils                      (!) 0.20.1               Docutils -- Python D...
easyocr                       (!) 1.7.1                End-to-End Multi-Lin...
evdev                         (!) 1.7.0                Bindings to the Linu...
exceptiongroup                (!) 1.2.0                Backport of PEP 654 ...
executing                     (!) 2.0.1                Get the currently ex...
fastapi                       (!) 0.110.1              FastAPI framework, h...
fastapi-socketio              (!) 0.0.10               Easily integrate soc...
filelock                      (!) 3.14.0               A platform independe...
fire                          (!) 0.4.0                A library for automa...
flake8                        (!) 6.1.0                the modular source c...
flake8-annotations            (!) 3.0.1                Flake8 Type Annotati...
flake8-docstrings             (!) 1.7.0                Extension for flake8...
flatbuffers                   (!) 24.3.25              The FlatBuffers seri...
fonttools                     (!) 4.51.0               Tools to manipulate ...
frozenlist                    (!) 1.4.1                A list-like structur...
fsspec                        (!) 2024.3.1             File-system specific...
fuzzywuzzy                    (!) 0.18.0               Fuzzy string matchin...
gitdb                             4.0.11               Git Object Database
gitpython                         3.1.43               GitPython is a Pytho...
google-ai-generativelanguage  (!) 0.6.1                Google Ai Generative...
google-api-core               (!) 2.18.0               Google API client co...
google-api-python-client      (!) 2.125.0              Google API Client Li...
google-auth                   (!) 2.29.0               Google Authenticatio...
google-auth-httplib2          (!) 0.2.0                Google Authenticatio...
google-generativeai           (!) 0.5.0                Google Generative AI...
googleapis-common-protos      (!) 1.63.0               Common protobufs use...
gradio-client                 (!) 0.15.0               Python library for e...
greenlet                          3.0.3                Lightweight in-proce...
grpcio                        (!) 1.62.1               HTTP/2-based RPC fra...
grpcio-status                 (!) 1.62.1               Status proto mapping...
h11                           (!) 0.14.0               A pure-Python, bring...
hkdf                          (!) 0.0.3                HMAC-based Extract-a...
httpcore                      (!) 1.0.5                A minimal low-level ...
httplib2                      (!) 0.22.0               A comprehensive HTTP...
httptools                     (!) 0.6.1                A collection of fram...
httpx                         (!) 0.27.0               The next generation ...
huggingface-hub               (!) 0.22.2               Client library to do...
humanfriendly                 (!) 10.0                 Human friendly outpu...
humanize                      (!) 4.9.0                Python humanize util...
hyperlink                     (!) 21.0.0               A featureful, immuta...
identify                      (!) 2.5.35               File identification ...
idna                          (!) 3.7                  Internationalized Do...
ifaddr                        (!) 0.2.0                Cross-platform netwo...
imagehash                     (!) 4.3.1                Image Hashing library
imageio                       (!) 2.34.0               Library for reading ...
imageio-ffmpeg                (!) 0.4.9                FFMPEG wrapper for P...
imagesize                     (!) 1.4.1                Getting image size f...
incremental                   (!) 22.10.0              "A small library tha...
iniconfig                     (!) 2.0.0                brain-dead simple co...
ipdb                          (!) 0.13.11              IPython-enabled pdb
ipython                       (!) 8.23.0               IPython: Productive ...
isort                         (!) 5.13.2               A Python utility / l...
itsdangerous                  (!) 2.1.2                Safely pass data to ...
jedi                          (!) 0.19.1               An autocompletion to...
jinja2                        (!) 3.1.3                A very fast and expr...
jmespath                      (!) 1.0.1                JSON Matching Expres...
joblib                        (!) 1.4.0                Lightweight pipelini...
kiwisolver                    (!) 1.4.5                A fast implementatio...
langcodes                     (!) 3.3.0                Tools for labeling h...
lazy-loader                   (!) 0.4                  Makes it easy to loa...
levenshtein                   (!) 0.21.1               Python extension for...
llvmlite                      (!) 0.40.1rc1            lightweight wrapper ...
loguru                            0.6.0                Python logging made ...
